Report Refresh Date,Report Period,Report Date,ActiveChannelUsers,ActiveChannels,ChannelMessages,Guests,Reactions,Meetings Organized,Post Messages,Reply Messages,Urgent Messages,Mentions,Active Shared Channels,Active External Users
2022-09-10,180,2022-04-05,828,337,165,11,1,2,30,86,0,29,0,0
2022-09-10,180,2022-04-04,894,345,161,14,9,4,41,85,0,64,0,0
2022-09-10,180,2022-04-03,199,124,21,1,0,2,3,18,0,6,0,0
2022-09-10,180,2022-04-02,129,86,8,2,0,0,4,3,0,2,0,0
2022-09-10,180,2022-04-01,760,312,191,12,4,5,51,84,0,41,0,0
2022-09-10,180,2022-03-31,797,314,147,7,20,8,67,55,0,27,0,0
2022-09-10,180,2022-03-30,750,327,182,11,48,5,78,69,0,26,0,0
2022-09-10,180,2022-03-29,667,299,109,14,4,9,29,48,0,47,0,0
2022-09-10,180,2022-03-28,800,338,102,9,1,4,25,48,0,18,0,0
2022-09-10,180,2022-03-27,131,83,3,0,3,1,0,1,0,1,0,0
2022-09-10,180,2022-03-26,117,70,2,0,0,0,0,1,0,1,0,0
2022-09-10,180,2022-03-25,686,296,173,9,1,0,26,88,0,35,0,0
2022-09-10,180,2022-03-24,790,301,184,10,1,6,35,97,0,27,0,0
2022-09-10,180,2022-03-23,714,356,101,7,0,4,29,43,0,26,0,0
2022-09-10,180,2022-03-22,729,324,137,12,6,1,22,78,0,33,0,0
2022-09-10,180,2022-03-21,775,345,112,16,1,14,36,48,0,17,0,0
2022-09-10,180,2022-03-20,149,91,6,1,0,2,2,1,0,0,0,0
2022-09-10,180,2022-03-19,82,68,9,0,0,0,0,9,0,5,0,0
2022-09-10,180,2022-03-18,673,301,100,10,0,0,21,50,0,19,0,0
2022-09-10,180,2022-03-17,774,337,175,7,1,2,24,101,0,44,0,0
2022-09-10,180,2022-03-16,764,310,184,10,3,3,46,85,0,46,0,0
2022-09-10,180,2022-03-15,853,326,139,13,1,2,32,74,0,56,0,0
